# run 1000ns
T=975000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=985000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=995000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
xsim: Time (s): cpu = 00:00:06 ; elapsed = 00:00:06 . Memory (MB): peak = 7438.539 ; gain = 0.000
INFO: [USF-XSim-96] XSim completed. Design snapshot 'elevator_top_tb_behav' loaded.
INFO: [USF-XSim-97] XSim simulation ran for 1000ns
launch_simulation: Time (s): cpu = 00:00:09 ; elapsed = 00:00:15 . Memory (MB): peak = 7438.539 ; gain = 0.000
run 20000ns
T=1005000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=1015000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
